age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
39.9,Male,Standard,7.345,12,Asia,Desktop,17.99,0,Crypto,5,0.565,Sci-Fi
49.0,Male,Basic,1.11,12,Asia,Laptop,8.99,1,PayPal,3,0.085,Romance
32.199999999999996,Other,Basic,0.415,12,South America,Mobile,13.99,1,Crypto,4,0.03,Comedy
46.9,Female,Standard,0.305,12,Oceania,Tablet,17.99,1,Crypto,3,0.025,Documentary
26.599999999999998,Female,Basic,16.155,11,Asia,Mobile,13.99,0,PayPal,3,1.345,Horror
18.0,Other,Standard,1.49,11,Europe,TV,17.99,1,PayPal,2,0.125,Drama
32.199999999999996,Male,Standard,1.59,11,Asia,TV,17.99,1,Crypto,4,0.135,Sci-Fi
44.099999999999994,Female,Basic,11.45,11,Asia,TV,8.99,0,Credit Card,1,0.955,Romance
18.0,Male,Standard,14.04,11,Asia,Laptop,17.99,0,Gift Card,2,1.17,Romance
26.599999999999998,Male,Basic,7.505,11,Asia,TV,8.99,0,Debit Card,3,0.625,Documentary
37.8,Other,Basic,4.305,11,Africa,Tablet,13.99,0,Gift Card,3,0.36,Romance
47.599999999999994,Female,Basic,9.245,11,Asia,Mobile,13.99,0,Gift Card,1,0.77,Drama
37.8,Other,Basic,0.255,11,Asia,Tablet,8.99,1,PayPal,5,0.02,Documentary
25.2,Other,Basic,9.255,11,South America,TV,8.99,0,Debit Card,3,0.77,Sci-Fi
23.799999999999997,Female,Basic,14.38,11,Asia,Mobile,13.99,0,PayPal,2,1.2,Documentary
41.3,Other,Basic,3.985,11,Asia,TV,8.99,0,Crypto,1,0.33,Action
31.499999999999996,Female,Basic,0.885,11,Asia,Mobile,13.99,1,PayPal,3,0.075,Romance
40.599999999999994,Female,Standard,29.995,11,Asia,Desktop,17.99,0,Credit Card,2,2.5,Comedy
21.0,Other,Basic,2.605,11,Asia,Tablet,13.99,0,PayPal,3,0.215,Romance
36.4,Other,Basic,14.02,11,Europe,Laptop,8.99,0,Debit Card,2,1.17,Action
