age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
31,Female,Premium,0.57,60,Oceania,Mobile,17.99,1,Crypto,3,0.01,Action
26,Male,Standard,10.62,60,South America,Mobile,13.99,0,Debit Card,5,0.17,Action
44,Male,Premium,41.31,60,North America,Laptop,17.99,0,Gift Card,4,0.68,Drama
48,Female,Premium,9.65,60,Oceania,Laptop,17.99,1,Gift Card,4,0.16,Drama
70,Male,Standard,9.54,60,Europe,TV,13.99,0,PayPal,5,0.16,Sci-Fi
25,Male,Standard,26.47,60,North America,TV,13.99,0,PayPal,1,0.43,Action
37,Male,Standard,1.33,60,Europe,Desktop,13.99,1,Gift Card,5,0.02,Comedy
68,Other,Basic,2.28,60,North America,Tablet,8.99,1,Debit Card,2,0.04,Documentary
63,Male,Basic,3.01,60,South America,TV,8.99,1,Debit Card,5,0.05,Drama
44,Other,Standard,8.65,60,Oceania,Tablet,13.99,1,Credit Card,1,0.14,Comedy
22,Male,Premium,10.68,60,Africa,Tablet,17.99,0,Debit Card,5,0.18,Action
31,Female,Premium,20.73,60,South America,Tablet,17.99,0,Gift Card,4,0.34,Sci-Fi
48,Male,Premium,28.14,60,Africa,Mobile,17.99,0,Credit Card,2,0.46,Comedy
25,Male,Basic,6.05,60,North America,Mobile,8.99,1,Debit Card,3,0.1,Sci-Fi
23,Other,Basic,0.03,60,North America,TV,8.99,1,PayPal,1,0.0,Comedy
27,Male,Premium,18.17,60,North America,Mobile,17.99,1,PayPal,2,0.3,Documentary
18,Female,Basic,3.68,60,South America,Laptop,8.99,1,Debit Card,4,0.06,Action
38,Other,Premium,7.13,60,Europe,Desktop,17.99,1,PayPal,1,0.12,Drama
25,Female,Premium,0.27,60,North America,Tablet,17.99,1,Gift Card,1,0.0,Drama
36,Female,Premium,16.68,60,Africa,TV,17.99,0,Credit Card,5,0.27,Horror
41,Female,Premium,1.5,60,South America,Desktop,17.99,1,Gift Card,5,0.02,Horror
55,Other,Premium,1.43,60,Asia,Laptop,17.99,1,Debit Card,1,0.02,Romance
21,Female,Standard,14.17,60,North America,TV,13.99,1,Gift Card,5,0.23,Documentary
68,Male,Premium,10.0,60,North America,Desktop,17.99,1,Crypto,4,0.16,Horror
51,Male,Standard,18.0,60,South America,Desktop,13.99,0,Debit Card,4,0.3,Romance
